Robert Sean Leonard, [ 0.0004005749920419026 ]
John Slattery, [ 0.0004004414949448196 ]
Michael Chance, [ 0.0004001593289089924 ]
Evelyn Keyes, [ 0.0003998359067141304 ]
Rob Reiner, [ 0.0003994025619631886 ]
Sean Lawlor, [ 0.00039763337944881714 ]
Val Kilmer, [ 0.000397345371857953 ]
Sam Kennard, [ 0.00039669564233595544 ]
Nick Nolte, [ 0.00039284496600142647 ]
Takashi Naitô, [ 0.00039265512648183596 ]
Collette Wolfe, [ 0.00039206541427521313 ]
Nino Terzo, [ 0.00039171373886516856 ]
Stellan Skarsgård, [ 0.00039069652822661555 ]
Phellipe Haagensen, [ 0.000390003217535679 ]
Xolani Mali, [ 0.00038972487735019926 ]
Carl Miller, [ 0.0003894409041368382 ]
David Strathairn, [ 0.0003878206876718796 ]
Brie Larson, [ 0.0003873465557083896 ]
Phil LaMarr, [ 0.0003867605367043307 ]
Eva Marie Saint, [ 0.0003865493194143597 ]
Pete Postlethwaite, [ 0.0003834693714636552 ]
Billy Boyd, [ 0.00038345031522340334 ]
Claire Danes, [ 0.0003816902152809917 ]
Alonzo Brown, [ 0.00037983272624927966 ]
Victor Sjöström, [ 0.00037950958034619904 ]
Domhnall Gleeson, [ 0.00037883418726080835 ]
Bonnie Bedelia, [ 0.00037876178007448735 ]
Reginald VelJohnson, [ 0.0003782592234339462 ]
Tom Wilkinson, [ 0.00037720234744520714 ]
Karen Carlisle, [ 0.0003766139062324032 ]
Agnes Moorehead, [ 0.0003758995505093734 ]
Miriam Colon, [ 0.00037574876470258817 ]
Aliash Tepina, [ 0.0003754217435356049 ]
Michael Fassbender, [ 0.00037496727315755227 ]
Scatman Crothers, [ 0.0003742661390698842 ]
Mohammad Amir Naji, [ 0.00037398260497466316 ]
Kôhei Miyauchi, [ 0.000370609932431508 ]
Mack Swain, [ 0.00037042644913838586 ]
Laurence Fishburne, [ 0.0003699555322624107 ]
Daijirô Harada, [ 0.0003697960002736849 ]
Henry Bergman, [ 0.0003689422287207509 ]
Frank Sivero, [ 0.0003685326249695656 ]
Burt Young, [ 0.0003680704014638961 ]
Alisa Freyndlikh, [ 0.00036788875609053857 ]
Tony Curtis, [ 0.0003678452693845161 ]
Jacques Perrin, [ 0.0003676735455052131 ]
Lawrence A. Bonney, [ 0.0003675432115881959 ]
Christine Ebersole, [ 0.0003672971186436548 ]
Harold G. Herthum, [ 0.00036644156443672605 ]
Nozomu Sasaki, [ 0.00036580664934389505 ]
Gloria Swanson, [ 0.000365537104818484 ]
Barry Pepper, [ 0.00036479008768677205 ]
David Aston, [ 0.00036167999834566737 ]
Ned Beatty, [ 0.0003613030729856253 ]
Sterling Hayden, [ 0.0003590779576279037 ]
Tom Hulce, [ 0.00035860720001712286 ]
Thom Shelton, [ 0.00035761978408090474 ]
Neil Patrick Harris, [ 0.00035609302290817675 ]
Beulah Bondi, [ 0.0003532418094218846 ]
Jeff Goldblum, [ 0.00035317204310318743 ]
Hubert Koundé, [ 0.00035216809490459284 ]
Seamus Moran, [ 0.0003517017023181975 ]
Jay Baruchel, [ 0.0003504313635676403 ]
Charley Grapewin, [ 0.00035004424087498005 ]
Jon Bernthal, [ 0.0003498416601137416 ]
Kelly Macdonald, [ 0.0003497295557582078 ]
Francis X. McCarthy, [ 0.00034961247132821594 ]
Danny Aiello, [ 0.0003492485703735654 ]
Kelsey Scott, [ 0.0003489336152449352 ]
François Cluzet, [ 0.00034772022749484743 ]
David Morse, [ 0.0003471705096125844 ]
Linda Hamilton, [ 0.00034703279828701765 ]
Madhavan, [ 0.00034695394197326756 ]
Helena Bonham Carter, [ 0.0003468240070868093 ]
Brigitte Fossey, [ 0.0003466282583887522 ]
Christopher Lloyd, [ 0.00034573953791081796 ]
H.B. Warner, [ 0.00034541665194516314 ]
Emilia Fox, [ 0.00034526625518843104 ]
Miranda Nolan, [ 0.00034496489304421417 ]
Debbie Reynolds, [ 0.0003448462968180042 ]
Keir Dullea, [ 0.0003433309736733107 ]
Frank Overton, [ 0.0003424749976996078 ]
Clémence Poésy, [ 0.00034244898283462903 ]
Brian d'Arcy James, [ 0.0003422576879870244 ]
Brett Cullen, [ 0.0003418105081552242 ]
Paul Henreid, [ 0.00034075447246669605 ]
Frank Whaley, [ 0.0003387683533176621 ]
Haruko Katô, [ 0.0003378846703008277 ]
Emilio Echevarría, [ 0.0003372979282836239 ]
Anthony Quinn, [ 0.0003370638869582644 ]
Anatoliy Solonitsyn, [ 0.0003370293814622636 ]
J.K. Simmons, [ 0.0003369778203313475 ]
Jack Davenport, [ 0.00033592594297053075 ]
Edward Burns, [ 0.000335561886709751 ]
Hussein Sami, [ 0.0003340558941604231 ]
Roberto Benigni, [ 0.00033372297946498487 ]
Joan Allen, [ 0.0003320126686909155 ]
Burr Steers, [ 0.00033058522536812037 ]
Billy Byrne, [ 0.0003301171213094995 ]
Vernon Campbell, [ 0.00033002831250226143 ]
Ann Rutherford, [ 0.0003297615725477367 ]
Philippe Noiret, [ 0.00032803936125118654 ]
Daisuke Katô, [ 0.00032685026663699114 ]
Nick Julian, [ 0.00032639730221719086 ]
John DeMita, [ 0.00032623095323161604 ]
Shelley Duvall, [ 0.00032590946569694334 ]
Kerry Washington, [ 0.00032549161427492223 ]
John Rhys-Davies, [ 0.00032535134638809316 ]
Payman Maadi, [ 0.0003249411651507418 ]
Jôji Yanami, [ 0.0003246218386261387 ]
Yasuko Sawaguchi, [ 0.0003238392795726483 ]
Charlize Theron, [ 0.000323192797417593 ]
Idris Elba, [ 0.00032101695081840765 ]
Casey Affleck, [ 0.0003208380580565282 ]
Emile Hirsch, [ 0.0003206960379677837 ]
Hilary Swank, [ 0.0003202805227312516 ]
Elizabeth McGovern, [ 0.0003197888903731631 ]
Anne Bancroft, [ 0.0003185961929422733 ]
Gael García Bernal, [ 0.00031798863255966855 ]
Fred MacMurray, [ 0.0003178909222788913 ]
Sener Sen, [ 0.0003178317702890139 ]
Mads Mikkelsen, [ 0.0003178317702890134 ]
Joan Cusack, [ 0.00031779882772960957 ]
Virginia Cherrill, [ 0.00031764984939482784 ]
James Robinson, [ 0.0003175196123939765 ]
Tony Roberts, [ 0.00031724404640013655 ]
Treat Williams, [ 0.00031707684276916073 ]
Ward Bond, [ 0.00031631315721635867 ]
Bill Irwin, [ 0.00031603387238708744 ]
Michael Biehn, [ 0.0003155656442498026 ]
Kirk Douglas, [ 0.00031474834068034825 ]
Marisa Berenson, [ 0.0003144042560911617 ]
Richard Bright, [ 0.00031439555336790513 ]
George Kelly, [ 0.00031319791832198885 ]
Robert Shaw, [ 0.00031281644438849074 ]
Bette Davis, [ 0.0003117719337216643 ]
Ray Bolger, [ 0.00031166669966633067 ]
Nellina Laganà, [ 0.0003114913816034991 ]
Jean Simmons, [ 0.0003114144426735745 ]
Maureen McBride, [ 0.0003112215285072725 ]
Richard Widmark, [ 0.00030998605020693106 ]
Jon Voight, [ 0.0003096197702789248 ]
Eli Roth, [ 0.0003095923348848522 ]
R. Lee Ermey, [ 0.0003094495835085259 ]
Wes Bentley, [ 0.0003083764447963389 ]
John Ratzenberger, [ 0.00030780869379067684 ]
Robby Benson, [ 0.00030766691245934463 ]
Jean Dujardin, [ 0.0003066847928367447 ]
Caroline Goodall, [ 0.0003066257302758913 ]
Claire Julien, [ 0.00030605927888729067 ]
Cinda Adams, [ 0.00030565793511188395 ]
Quvenzhané Wallis, [ 0.00030563528342622055 ]
William Devane, [ 0.0003051498021819895 ]
Rufus, [ 0.0003049954577581629 ]
John Mighton, [ 0.0003044388531635972 ]
Douglas Silva, [ 0.00030389861106676304 ]
Mark Arnold, [ 0.00030204931848826406 ]
Rutger Hauer, [ 0.0003013818247949871 ]
Stanley Tucci, [ 0.0002997877559010435 ]
Danai Gurira, [ 0.00029933924782603197 ]
Paul Bettany, [ 0.0002990642216377012 ]
Ian Charleson, [ 0.0002987444662348818 ]
Boyd Holbrook, [ 0.0002982547254752298 ]
Joaquin Phoenix, [ 0.00029805356749123516 ]
Turi Giuffrida, [ 0.00029665845866999965 ]
Dennis Farina, [ 0.00029653593883201344 ]
Dana Andrews, [ 0.000296082497225377 ]
Katie Holmes, [ 0.00029570281054402806 ]
Djimon Hounsou, [ 0.00029512610150133034 ]
Michael Bates, [ 0.0002951173489029864 ]
Jane Nolan, [ 0.00029453141499110935 ]
Paul Gleason, [ 0.00029434621608651724 ]
Reggie Lee, [ 0.0002941530826834376 ]
John Goodman, [ 0.0002930050488340075 ]
Ruth Warrick, [ 0.0002929087406566543 ]
Siddharth, [ 0.000292741346772457 ]
Cathy Moriarty, [ 0.0002907574449160975 ]
Minoru Yada, [ 0.000289471703233499 ]
Alfred Abel, [ 0.0002889807084389425 ]
Erskine Sanford, [ 0.0002889798379581403 ]
Edward Furlong, [ 0.0002876737676930764 ]
Jonathan Pryce, [ 0.0002871161905731032 ]
Jeremy Renner, [ 0.00028652119439267625 ]
Piper Perabo, [ 0.00028631686131102397 ]
Mwako Cumbuka, [ 0.0002858001056819964 ]
Jada Pinkett Smith, [ 0.00028574974005689073 ]
Kerry Condon, [ 0.00028567624835502313 ]
Mark Wahlberg, [ 0.0002841801025336981 ]
Mone Kamishiraishi, [ 0.00028351850537411145 ]
Mariella Lo Giudice, [ 0.000283281286793634 ]
Joseph Lyle Taylor, [ 0.0002832108454720185 ]
Jacob Warner, [ 0.0002830576992878793 ]
Nathalie Baye, [ 0.0002828630566672568 ]
Harry Dean Stanton, [ 0.0002823843557411524 ]
H. Michael Walls, [ 0.0002820754807711637 ]
George Reeves, [ 0.00028184749790404823 ]
Edward James Olmos, [ 0.00028113935049395663 ]
John Marley, [ 0.0002810103723537533 ]
Joanna Lumley, [ 0.0002802196076680911 ]
Frederic Forrest, [ 0.0002799261706426804 ]
Laurence Griffin, [ 0.0002796737471725669 ]
G.D. Spradlin, [ 0.000278800923653316 ]
Max von Sydow, [ 0.000278734394144541 ]
Martina Gedeck, [ 0.00027807921909821286 ]
John Fiedler, [ 0.0002776256545866769 ]
Adam Baldwin, [ 0.00027754124656878933 ]
Tyler Perry, [ 0.0002774750827855923 ]
Julia Stiles, [ 0.0002770817341141185 ]
Stephen Rea, [ 0.0002770675610680888 ]
Ivana Baquero, [ 0.0002769566251108785 ]
Vera Miles, [ 0.00027691518076769067 ]
Dennis Christopher, [ 0.00027650870290986146 ]
Cathy O'Donnell, [ 0.0002758549393141843 ]
Ellen DeGeneres, [ 0.00027499857599313983 ]
Bob Penny, [ 0.0002743339430557566 ]
David Dastmalchian, [ 0.00027415042624446775 ]
Walton Goggins, [ 0.00027374436180713083 ]
Desmond Dube, [ 0.00027349114200014027 ]
