Richard Pyros, [ 0.0001085986765375129 ]
Denis Lawson, [ 0.00010859092864121447 ]
Daisuke Katô, [ 0.00010840939583183515 ]
Kyle Chandler, [ 0.00010837236947059804 ]
Dennis Farina, [ 0.00010834963821842139 ]
Phellipe Haagensen, [ 0.00010832173662636896 ]
Hank Mann, [ 0.0001082633312924076 ]
Robert Redford, [ 0.00010824647109180053 ]
Danny Borzage, [ 0.00010815528540676945 ]
Welker White, [ 0.00010814666152025877 ]
Emile Hirsch, [ 0.00010808678527737256 ]
Terry Walters, [ 0.00010799389567499676 ]
François Cluzet, [ 0.00010798812209025628 ]
Colin McFarlane, [ 0.00010782272013030338 ]
Richard Harris, [ 0.0001078136466375142 ]
John Goodman, [ 0.00010780267612343428 ]
Jeff Bridges, [ 0.00010764069673471718 ]
Toni Collette, [ 0.00010760808201861289 ]
Kirk Douglas, [ 0.0001073796872001687 ]
Roberto Benigni, [ 0.00010736366335394067 ]
Madeleine Lebeau, [ 0.00010733428314691021 ]
Michael Gambon, [ 0.0001072957884803853 ]
Nozomu Sasaki, [ 0.00010719482102289364 ]
Lance Henriksen, [ 0.00010716301665811844 ]
Spencer Tracy, [ 0.00010702800292218125 ]
Tatsuya Gashûin, [ 0.00010701675477618321 ]
Enzo Cannavale, [ 0.00010675572230797484 ]
John Cleese, [ 0.00010663637551856216 ]
Emilio Echevarría, [ 0.00010663531758276554 ]
Rachel McAdams, [ 0.00010662277326949781 ]
Carl Miller, [ 0.00010658433028138022 ]
Ted Levine, [ 0.00010658429776159845 ]
Bess Flowers, [ 0.00010653272498084298 ]
John Qualen, [ 0.00010652670016276578 ]
Erskine Sanford, [ 0.0001064923530115352 ]
Ewen Bremner, [ 0.00010647483443196245 ]
Hussein Sami, [ 0.00010627242136939997 ]
Sharon Stone, [ 0.00010616461111717255 ]
Minnie Driver, [ 0.00010613985625880512 ]
Jason Statham, [ 0.00010612938194317456 ]
Alison Crosbie, [ 0.00010604316095585238 ]
Robby Benson, [ 0.00010591139333279976 ]
Véra Clouzot, [ 0.00010591030041267535 ]
Frank Adonis, [ 0.00010587877926807383 ]
Bradley Cooper, [ 0.00010581769294564103 ]
Michael Berryman, [ 0.00010577117471686453 ]
Ivana Baquero, [ 0.00010575224356299902 ]
David Dastmalchian, [ 0.00010573753461923611 ]
Emilia Fox, [ 0.0001056764223038129 ]
Tom Hulce, [ 0.00010557384667731284 ]
Emma Thompson, [ 0.0001055482402969926 ]
Rutger Hauer, [ 0.00010531756784519985 ]
Joseph Bono, [ 0.00010528310801073026 ]
Mack Swain, [ 0.00010526337611731798 ]
Theodor Loos, [ 0.00010520038276510098 ]
Sam Ash, [ 0.00010516529669453824 ]
Tim Allen, [ 0.00010515540132328067 ]
Kenneth Colley, [ 0.00010512271514951372 ]
J.C. MacKenzie, [ 0.0001051191471982181 ]
John Hillerman, [ 0.00010511073401007946 ]
Rob Reiner, [ 0.00010501129081823945 ]
Audrey Tautou, [ 0.00010500465130583157 ]
Billy Boyd, [ 0.00010485371178439913 ]
Richard Bright, [ 0.00010482466451666123 ]
Martina Gedeck, [ 0.00010480714468803437 ]
Charlize Theron, [ 0.0001048036378766257 ]
Michelle Pfeiffer, [ 0.00010477286202204071 ]
Christopher Lloyd, [ 0.00010468918433177398 ]
Vivien Leigh, [ 0.00010466748667986509 ]
Clotilde Mollet, [ 0.00010463602263353843 ]
Janet Leigh, [ 0.00010455096904373201 ]
Brandon Beach, [ 0.00010452890943926719 ]
Debbie Reynolds, [ 0.00010442770504361347 ]
Danny DeVito, [ 0.00010437339719722763 ]
Alan Howard, [ 0.00010429509301255564 ]
Paul Reiser, [ 0.00010425021100051312 ]
Lee J. Cobb, [ 0.00010423216168913936 ]
Djimon Hounsou, [ 0.00010416696451130762 ]
Helena Bonham Carter, [ 0.00010413451866650637 ]
Michael Conner Humphreys, [ 0.00010410228575281643 ]
Mahito Tsujimura, [ 0.00010409537107236001 ]
Minoru Chiaki, [ 0.00010408994494298135 ]
Çetin Tekindor, [ 0.00010402078766649976 ]
Charles Scorsese, [ 0.00010394319971200402 ]
Rade Serbedzija, [ 0.00010391644542251446 ]
Thom Shelton, [ 0.0001038399105360586 ]
Amy Poehler, [ 0.00010381827336039233 ]
James Caan, [ 0.0001037138609813223 ]
Jena Malone, [ 0.00010367535281144087 ]
Barry Pepper, [ 0.00010363948456932275 ]
Paul Dano, [ 0.00010353729831482997 ]
George Sanders, [ 0.00010337712325491942 ]
Richard Dreyfuss, [ 0.00010334821074831206 ]
Edward Fox, [ 0.00010331613483318117 ]
Grant Mitchell, [ 0.00010329816392117364 ]
Sean Lawlor, [ 0.00010324937036377127 ]
Marcia Jean Kurtz, [ 0.0001032060933823064 ]
Heath Ledger, [ 0.00010317603379912354 ]
Edward Biby, [ 0.00010314709421011175 ]
Alfred Abel, [ 0.00010307310287555124 ]
River Phoenix, [ 0.00010306571632949694 ]
Edward James Olmos, [ 0.000103033889774591 ]
Dwight Henry, [ 0.00010298540939502598 ]
Mone Kamishiraishi, [ 0.0001029316216357746 ]
Douglas Silva, [ 0.00010284552827935445 ]
Jason Flemyng, [ 0.00010278861241778632 ]
Dexter Fletcher, [ 0.00010262484415387598 ]
Jürgen Prochnow, [ 0.00010260196558618631 ]
Haley Joel Osment, [ 0.00010257782862074953 ]
Miranda Nolan, [ 0.00010255030116408102 ]
Aleksey Kravchenko, [ 0.00010240100441537735 ]
Porter Hall, [ 0.00010236825298689849 ]
James Cosmo, [ 0.00010235547870513469 ]
Geoffrey Rush, [ 0.00010235414156357064 ]
Julie Delpy, [ 0.00010234026767243359 ]
Andy Lau, [ 0.00010230956077648014 ]
Jon Bernthal, [ 0.00010228487404894204 ]
Woody Allen, [ 0.0001022624054720593 ]
Kang-ho Song, [ 0.00010219605759338202 ]
Chishû Ryû, [ 0.00010209373381202455 ]
Suzanne Shepherd, [ 0.00010205426359872292 ]
Neil Patrick Harris, [ 0.00010191965955626121 ]
Brie Larson, [ 0.00010188947165351118 ]
Frank Adu, [ 0.00010180788982583233 ]
Agnes Moorehead, [ 0.000101778909922474 ]
Wallace Shawn, [ 0.00010165792309218326 ]
Paul Bettany, [ 0.00010165775102068781 ]
Adam Baldwin, [ 0.00010164973259236588 ]
Tsutomu Tatsumi, [ 0.00010157473365326254 ]
Robert Sean Leonard, [ 0.00010140673311605133 ]
Andy Serkis, [ 0.00010123108847086345 ]
Liev Schreiber, [ 0.0001012250653868705 ]
Ray Bolger, [ 0.00010120362712791104 ]
Charles Bronson, [ 0.00010109876975596516 ]
Peter O'Toole, [ 0.00010103666932239867 ]
David Morse, [ 0.00010100380730235482 ]
Colin Stinton, [ 0.0001009060183067491 ]
John Carroll Lynch, [ 0.00010088134083291515 ]
Alon Aboutboul, [ 0.0001008293702712813 ]
Caroline Goodall, [ 0.00010078677583973216 ]
Frank Faylen, [ 0.00010077692053572386 ]
Fredric March, [ 0.00010077277821695441 ]
Ray Liotta, [ 0.00010074549414173479 ]
Earl Boen, [ 0.00010070293255035233 ]
Anthony Perkins, [ 0.00010068484159144517 ]
Kevin Corrigan, [ 0.00010064817996329102 ]
Cinda Adams, [ 0.00010062887596058914 ]
Catherine Scorsese, [ 0.00010061799043136259 ]
Donna Reed, [ 0.00010059833385164361 ]
Edward Arnold, [ 0.00010058235983334696 ]
Chieko Baishô, [ 0.00010055940783088499 ]
Jacob Warner, [ 0.00010055674270481448 ]
Damon Gupton, [ 0.00010046735084586554 ]
Leopoldo Trieste, [ 0.00010039101539791472 ]
Vinnie Jones, [ 0.0001003846630760873 ]
Mélanie Laurent, [ 0.00010034519392702899 ]
Stephen Baldwin, [ 0.00010031910553920258 ]
Giulietta Masina, [ 0.00010021051140111983 ]
Maria Falconetti, [ 0.00010017327929129768 ]
Harold G. Herthum, [ 0.00010009994076553963 ]
Joaquin Phoenix, [ 0.00010008156426825783 ]
Min-sik Choi, [ 0.0001000809231206567 ]
Lamberto Maggiorani, [ 0.00010004586450671298 ]
Ray Walston, [ 0.00010004271316817481 ]
Ellen Widmann, [ 9.996782954973381e-05 ]
Denholm Elliott, [ 9.990821150915305e-05 ]
Sala Baker, [ 9.985321516386273e-05 ]
Eijirô Tôno, [ 9.983900711225143e-05 ]
Jean Dujardin, [ 9.977604029837923e-05 ]
Sean Bean, [ 9.977586213031286e-05 ]
Ned Beatty, [ 9.971513430330108e-05 ]
Daniel Radcliffe, [ 9.968514669741027e-05 ]
Garcia Al Ernest, [ 9.962081229081218e-05 ]
Nathalie Baye, [ 9.953587955285929e-05 ]
Mary Elizabeth Mastrantonio, [ 9.946812496966045e-05 ]
David Clennon, [ 9.943662656063506e-05 ]
Mathieu Amalric, [ 9.939617473485347e-05 ]
Evelyn Keyes, [ 9.936521162547454e-05 ]
André Morell, [ 9.926072703945981e-05 ]
Mami Koyama, [ 9.92560687045448e-05 ]
Pierfrancesco Favino, [ 9.925598188057916e-05 ]
Ben Mendelsohn, [ 9.924653217003539e-05 ]
Bette Davis, [ 9.920545075098657e-05 ]
Jean Hagen, [ 9.913589955430524e-05 ]
María Marull, [ 9.912186453624988e-05 ]
William Fichtner, [ 9.893786986145685e-05 ]
Isa Danieli, [ 9.889145296031209e-05 ]
Hubert Koundé, [ 9.88902897180002e-05 ]
Jonathan Haagensen, [ 9.888463115771576e-05 ]
Neal Huff, [ 9.878715651857219e-05 ]
John Standing, [ 9.87788989131391e-05 ]
John Megna, [ 9.873601195346155e-05 ]
Jon Seda, [ 9.85905728766249e-05 ]
Mario Brega, [ 9.854844299089868e-05 ]
Rémy Girard, [ 9.839315334850176e-05 ]
Gregory Peck, [ 9.825200153175635e-05 ]
Edward Binns, [ 9.82134253254833e-05 ]
Bonnie Hunt, [ 9.818686065462686e-05 ]
Nikolay Grinko, [ 9.8119583078278e-05 ]
Sam Rockwell, [ 9.807349733141925e-05 ]
Jerry Vale, [ 9.806952024891883e-05 ]
Virginia Cherrill, [ 9.80502889749842e-05 ]
Joanna Lumley, [ 9.803356269041503e-05 ]
Peter Stormare, [ 9.801753817367733e-05 ]
Callie Hernandez, [ 9.80163142941489e-05 ]
Giorgio Cantarini, [ 9.794978410644832e-05 ]
Fortunio Bonanova, [ 9.793051543128918e-05 ]
Michal Zebrowski, [ 9.784414504391105e-05 ]
Burn Gorman, [ 9.782833677439723e-05 ]
Dafne Keen, [ 9.7811783152444e-05 ]
Steve Witting, [ 9.779674963767328e-05 ]
Michael J. Fox, [ 9.777758799861092e-05 ]
Elizabeth Berridge, [ 9.776051110166365e-05 ]
Philip King, [ 9.771747125707346e-05 ]
Gloria Swanson, [ 9.753147641392446e-05 ]
Sterling Hayden, [ 9.751677860280214e-05 ]
Strother Martin, [ 9.749426014081996e-05 ]
John Nolan, [ 9.749323002778592e-05 ]
Josh Pence, [ 9.748519004533225e-05 ]
Tom Murray, [ 9.746475242764868e-05 ]
John Slattery, [ 9.733204552620956e-05 ]
Eric Idle, [ 9.729507431730374e-05 ]
Terry Gilliam, [ 9.72900809882953e-05 ]
Richard Attenborough, [ 9.723231018747466e-05 ]
Paul Giamatti, [ 9.715988859582665e-05 ]
Mark Boone Junior, [ 9.712740036150229e-05 ]
Elizabeth Olsen, [ 9.712228064788951e-05 ]
Haya Harareet, [ 9.711528162202825e-05 ]
Henry Jones, [ 9.71053173342485e-05 ]
Martin Stringer, [ 9.706307218812623e-05 ]
Nicholas Hoult, [ 9.703262581499634e-05 ]
Irving Bacon, [ 9.700272981943879e-05 ]
George Kelly, [ 9.699653902026742e-05 ]
G.D. Spradlin, [ 9.697186611710472e-05 ]
John Albright, [ 9.694190380619737e-05 ]
Jonathan Sagall, [ 9.690742503189745e-05 ]
Richard Gere, [ 9.69007845045057e-05 ]
James Robinson, [ 9.689210218528844e-05 ]
Ed Harris, [ 9.682258168246384e-05 ]
Tyler Perry, [ 9.675795262815879e-05 ]
Rufus, [ 9.672429693421198e-05 ]
Guy Kibbee, [ 9.671792264404857e-05 ]
Jennifer Morrison, [ 9.669350349270592e-05 ]
Stephen Rea, [ 9.666612093461861e-05 ]
Amir Farrokh Hashemian, [ 9.664633643022401e-05 ]
Mark Margolis, [ 9.662521522952771e-05 ]
Ruth Warrick, [ 9.661832384560073e-05 ]
Georgia Hale, [ 9.661130136105165e-05 ]
Sydney Greenstreet, [ 9.655344942896814e-05 ]
Daniel Sunjata, [ 9.654436020823209e-05 ]
Billy Bob Thornton, [ 9.65338769560242e-05 ]
Cristin Milioti, [ 9.649337315728907e-05 ]
Roy Scheider, [ 9.647339602710757e-05 ]
Amy Adams, [ 9.645771644890576e-05 ]
Ted Grossman, [ 9.643627961885369e-05 ]
Hisako Kyôda, [ 9.636757409734058e-05 ]
Jeremy Bulloch, [ 9.62997159508154e-05 ]
Lawrence A. Bonney, [ 9.626636533508e-05 ]
Miyu Irino, [ 9.6256740105814e-05 ]
David Calder, [ 9.618439923711082e-05 ]
Penelope Allen, [ 9.61443244586092e-05 ]
Hilary Swank, [ 9.611685218254136e-05 ]
Bert Lahr, [ 9.608949830413643e-05 ]
Christopher Carley, [ 9.607336807725312e-05 ]
Michael Fassbender, [ 9.606361317457312e-05 ]
Leo G. Carroll, [ 9.595200294330866e-05 ]
Laurence Olivier, [ 9.59248568170903e-05 ]
Reginald VelJohnson, [ 9.590173515936698e-05 ]
Andie MacDowell, [ 9.586979172263867e-05 ]
Rupert Grint, [ 9.586204955515357e-05 ]
Tony Curtis, [ 9.584087385793902e-05 ]
Kerry Condon, [ 9.583473965865575e-05 ]
Jessica Rothe, [ 9.581874885406339e-05 ]
James Mason, [ 9.581818542415576e-05 ]
Val Kilmer, [ 9.581647378648562e-05 ]
Matheus Nachtergaele, [ 9.581600343456678e-05 ]
Corinna Harfouch, [ 9.577684898800885e-05 ]
Cathy Moriarty, [ 9.575861273853516e-05 ]
Robert Loggia, [ 9.564210405384593e-05 ]
Bonnie Bedelia, [ 9.556158515324559e-05 ]
Edison Chen, [ 9.555301880539496e-05 ]
Ann Rutherford, [ 9.554273580338162e-05 ]
Luigi Pistilli, [ 9.550802697967318e-05 ]
Amanda Plummer, [ 9.547287172855949e-05 ]
Milo Gibson, [ 9.54634385203429e-05 ]
Steve McQueen, [ 9.546248288580217e-05 ]
Vincent Riotta, [ 9.5456711796232e-05 ]
Woody Harrelson, [ 9.539672300287554e-05 ]
Aidan Gillen, [ 9.536600669267602e-05 ]
Dickie Gravois, [ 9.535699695692931e-05 ]
John Bach, [ 9.533417510251397e-05 ]
Yô Ôizumi, [ 9.53268562482592e-05 ]
Millard Mitchell, [ 9.532013222585707e-05 ]
Ryô Narita, [ 9.53058634155137e-05 ]
Michael Bates, [ 9.521461607675408e-05 ]
Gerard Murphy, [ 9.514133555837986e-05 ]
Charles Durning, [ 9.506172149461499e-05 ]
Anthony Gonzalez, [ 9.502415168992901e-05 ]
George O'Brien, [ 9.499213575431739e-05 ]
Bokuzen Hidari, [ 9.493039585984515e-05 ]
Melissa Prophet, [ 9.491800201831401e-05 ]
Simone Signoret, [ 9.491783367365816e-05 ]
Paul Henreid, [ 9.488619225936167e-05 ]
Atsushi Watanabe, [ 9.478116913503834e-05 ]
Thomas Thieme, [ 9.473404365129402e-05 ]
